Arquivo,Classe,M̩todo,Linhas
AppTest,AppTest,testCaso1,19
AppTest,AppTest,testCaso2,20
AppTest,AppTest,,7
AppTest,,,46
No,No,No,4
No,No,getDado,3
No,No,setDado,3
No,No,getProximo,3
No,No,setProximo,3
No,No,,5
No,,,21
ListaEncadeada,ListaEncadeada,ListaEncadeada,3
ListaEncadeada,ListaEncadeada,adicionarNo,22
ListaEncadeada,ListaEncadeada,adicionarNoFinalLista,3
ListaEncadeada,ListaEncadeada,imprimirLista,14
ListaEncadeada,ListaEncadeada,mediaLista,13
ListaEncadeada,ListaEncadeada,desvioPadraoAmostralLista,14
ListaEncadeada,ListaEncadeada,tamanho,9
ListaEncadeada,ListaEncadeada,,4
ListaEncadeada,,,82
Cabeca,Cabeca,getPrimeiro,3
Cabeca,Cabeca,setPrimeiro,3
Cabeca,Cabeca,getUltimo,3
Cabeca,Cabeca,setUltimo,3
Cabeca,Cabeca,,5
Cabeca,,,17
App,App,main,17
App,App,,6
App,,,23
,,,189
